DC,Switch_Type,Switch,Has_VLANs,Missing_VLANs
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-01,"211, 212, 213, 296, 298, 299",297
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-02,"211, 212, 213, 297, 298, 299",296
,,,,
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-01,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-02,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-03,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-04,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"211, 212, 213, 296, 297, 298, 299"
,,,,
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"211, 212, 213, 296, 297, 298, 299"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"211, 212, 213, 296, 297, 298, 299"
,,,,
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-01,"211, 212, 213, 296, 298, 299",297
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-02,"211, 212, 213, 297, 298, 299",296
,,,,
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-01,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-02,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-03,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-04,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-09,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-10,,"211, 212, 213, 296, 297, 298, 299"
,,,,
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-02,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-03,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-04,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-05,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-06,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-07,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-08,,"211, 212, 213, 296, 297, 298, 299"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-09,,"211, 212, 213, 296, 297, 298, 299"
