DC,Switch_Type,Switch,Has_VLANs,Missing_VLANs
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-01,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3887, 3888, 3889",3886
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-02,"694, 695, 3681, 3682, 3880, 3881, 3882, 3886, 3887, 3888, 3889",3885
,,,,
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
,,,,
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
,,,,
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-01,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3887, 3888, 3889",3886
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-02,"694, 695, 3681, 3682, 3880, 3881, 3882, 3886, 3887, 3888, 3889",3885
,,,,
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-02,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-03,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-04,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-09,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-10,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
,,,,
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"694, 695, 3681, 3682, 3880, 3881, 3882, 3885, 3886, 3887, 3888, 3889"
