VLAN,DC1,DC2,TUNSW-BKH-PA-DCFW1,TUNSW-BKH-PA-DCFW2,TUVIC-MIT-PA-DCFW1,TUVIC-MIT-PA-DCFW2,zone,fwd
2,,TRUE,ae1.2,ae1.2,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
3,,TRUE,ae1.3,ae1.3,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
4,,TRUE,ae1.4,ae1.4,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
8,,TRUE,ae1.8,ae1.8,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
11,,TRUE,ae1.11,ae1.11,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
12,,TRUE,ae1.12,ae1.12,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
14,,TRUE,ae1.14,ae1.14,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
15,,TRUE,ae1.15,ae1.15,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
16,,TRUE,ae1.16,ae1.16,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
17,,TRUE,ae1.17,ae1.17,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
19,,TRUE,ae1.19,ae1.19,,,BKH-DEVTEST-Services,vr:BKH-VR-VSYS-DEVTEST
21,,TRUE,ae1.21,ae1.21,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
31,,TRUE,ae1.31,ae1.31,,,BKH-DEVTEST-Services,vr:BKH-VR-VSYS-DEVTEST
37,,TRUE,ae1.37,ae1.37,,,BKH-DEVTEST-Services,vr:BKH-VR-VSYS-DEVTEST
45,,TRUE,ae1.45,ae1.45,,,BKH-CORPDR-Services,vr:BKH-VR-VSYS-CORP-DR
53,,TRUE,ae1.53,ae1.53,,,BKH-DEVTEST-Services,vr:BKH-VR-VSYS-DEVTEST
58,,TRUE,ae1.58,ae1.58,,,BKH-TOLL-Services,vr:BKH-VR-VSYS-TOLL
63,,TRUE,ae1.63,ae1.63,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
64,,TRUE,ae1.64,ae1.64,,,BKH-TQDR-Services,vr:BKH-VR-VSYS-TQ-DR
68,TRUE,TRUE,ae1.68,ae1.68,ae1.68,ae1.68,MIT-TOLL-Services,vr:MIT-VR-VSYS-TOLL
