"Interface","Interface Type","Management Profile","Link State","IP Address","Virtual Router","Tag","VLAN / Virtual Wire","Virtual System","Security Zone","SD WAN Interface Profile","Upstream NAT","Features","Comment"
"ethernet1/1","Layer3","","ethernet1/1: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/2","Layer3","","ethernet1/2: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/3","Layer3","","ethernet1/3: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/4","","","ethernet1/4: not configured and down","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/5","Aggregate (ae1)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/5: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/6","Aggregate (ae1)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/6: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/7","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/7: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/8","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/8: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/9","Aggregate (ae5)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/9: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/10","Aggregate (ae5)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/10: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/11","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/11: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/12","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/12: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/13","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/13: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/14","Layer3","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/14: configured but down","none","none","Untagged","none","vsys1","none","","Disabled","",""
"ethernet1/15","Aggregate (ae5)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/15: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/16","Aggregate (ae6)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/16: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/17","Aggregate (ae6)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/17: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/18","Aggregate (ae6)","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/18: configured and up","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/19","HA","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/19: configured and up","none","none","Untagged","none","none","none","","Disabled","","HA2 - primary link"
"ethernet1/20","HA","","Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/20: configured and up","none","none","Untagged","none","none","none","","Disabled","","HA2 - backup link"
"ethernet1/21","","","Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/21: not configured and down","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/22","","","Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/22: not configured and down","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/23","","","Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/23: not configured and down","none","none","Untagged","none","none","none","","Disabled","",""
"ethernet1/24","Layer3","","Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/24: configured but down","none","none","Untagged","none","none","none","","Disabled","","Northbound_To_TR01-02"
"ae1","Layer3","","Type: lacp;State: Enabled;Mode: Passive;Local Key: 16;Local MAC: 08:30:6b:83:ec:01;Local Priority: 32768;Partner Key: 110;Partner MAC: a8:4f:b1:14:5a:a3;Partner Priority: 32768;Member (ethernet1/5): active;Member (ethernet1/6): active","none","none","Untagged","none","vsys1","none","","Disabled","LACP Enable","Existing data"
"ae1.2","Layer3","Allow-Ping","ae1.2: unknown","10.30.2.250/24","BKH-VR-VSYS-TQ-DR","2","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","none"
"ae1.3","Layer3","Allow-Ping","ae1.3: unknown","10.30.3.250/24","BKH-VR-VSYS-TQ-DR","3","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","none"
"ae1.4","Layer3","Allow-Ping","ae1.4: unknown","10.30.4.250/24","BKH-VR-VSYS-TQ-DR","4","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","TQ_Infrastructure_Management"
"ae1.8","Layer3","Allow-Ping","ae1.8: unknown","10.30.108.250/24","BKH-VR-VSYS-TQ-DR","8","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","NET_BTP_StreamsTraining"
"ae1.11","Layer3","Allow-Ping","ae1.11: unknown","10.30.11.250/24","BKH-VR-VSYS-TQ-DR","11","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","NSW-FW-HANDOFF"
"ae1.12","Layer3","Allow-Ping","ae1.12: unknown","10.30.0.250/24","BKH-VR-VSYS-TQ-DR","12","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","TQ_DR_ADMIN"
"ae1.14","Layer3","Allow-Ping","ae1.14: unknown","10.30.8.250/24","BKH-VR-VSYS-TQ-DR","14","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","none"
"ae1.15","Layer3","Allow-Ping","ae1.15: unknown","10.30.12.250/24","BKH-VR-VSYS-TQ-DR","15","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","none"
"ae1.16","Layer3","Allow-Ping","ae1.16: unknown","10.30.16.250/24","BKH-VR-VSYS-TQ-DR","16","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_Infrastructure_CCTV"
"ae1.17","Layer3","Allow-Ping","ae1.17: unknown","10.30.20.250/24","BKH-VR-VSYS-TQ-DR","17","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","none"
"ae1.19","Layer3","Allow-Ping","ae1.19: unknown","10.5.6.1/24","BKH-VR-VSYS-DEVTEST","19","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","","NSW_DEV"
"ae1.21","Layer3","Allow-Ping","ae1.21: unknown","10.30.21.250/24","BKH-VR-VSYS-TQ-DR","21","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","none"
"ae1.31","Layer3","Allow-Ping","ae1.31: unknown","172.17.121.1/24","BKH-VR-VSYS-DEVTEST","31","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","DHCP Relay","Accenture_GLIDe_DEV"
"ae1.37","Layer3","Allow-Ping","ae1.37: unknown","192.168.37.1/24","BKH-VR-VSYS-DEVTEST","37","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","DHCP Relay","SHAREPOINT-DEV-USER-BKH"
"ae1.45","Layer3","Allow-Ping","ae1.45: unknown","192.168.45.1/24","BKH-VR-VSYS-CORP-DR","45","none","TUNSW-BKH-PA-CORP-DR-FW","BKH-CORPDR-Services","","Disabled","","Infra-DR-Test"
"ae1.53","Layer3","Allow-Ping","ae1.53: unknown","192.168.53.1/24","BKH-VR-VSYS-DEVTEST","53","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","","Waratah-Sandbox"
"ae1.58","Layer3","Allow-Ping","ae1.58: unknown","10.144.11.1/25","BKH-VR-VSYS-TOLL","58","none","TUNSW-BKH-PA-TOLL-FW","BKH-TOLL-Services","","Disabled","","NES_prod_DR_DB_server"
"ae1.63","Layer3","Allow-Ping","ae1.63: unknown","10.30.52.250/24","BKH-VR-VSYS-TQ-DR","63","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_dev-FFT-DRClient"
"ae1.64","Layer3","Allow-Ping","ae1.64: unknown","10.30.53.250/24","BKH-VR-VSYS-TQ-DR","64","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_dev-FFT-DRMgmt"
"ae1.68","Layer3","Allow-Ping","ae1.68: unknown","10.30.57.250/24","BKH-VR-VSYS-TQ-DR","68","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_prod-pri-sys-P-data"
"ae1.69","Layer3","Allow-Ping","ae1.69: unknown","10.30.58.250/24","BKH-VR-VSYS-TQ-DR","69","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_prod-pri-sys-P-man"
"ae1.79","Layer3","Allow-Ping","ae1.79: unknown","10.10.1.1/24","BKH-VR-VSYS-TOLL-DR","79","none","TUNSW-BKH-PA-TOLL-DR-FW","BKH-TOLLDR-Services","","Disabled","","GLIDe_DR_external_vip"
"ae1.81","Layer3","Allow-Ping","ae1.81: unknown","10.10.7.1/24","BKH-VR-VSYS-TOLL-DR","81","none","TUNSW-BKH-PA-TOLL-DR-FW","BKH-TOLLDR-Services","","Disabled","","GLIDE_DR_admin_vip"
"ae1.82","Layer3","Allow-Ping","ae1.82: unknown","172.19.2.1/24","BKH-VR-VSYS-TOLL-DR","82","none","TUNSW-BKH-PA-TOLL-DR-FW","BKH-TOLLDR-Services","","Disabled","","VLAN0082"
"ae1.90","Layer3","Allow-Ping","ae1.90: unknown","10.30.90.250/24","BKH-VR-VSYS-TQ-DR","90","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_Internet_Services"
"ae1.92","Layer3","Allow-Ping","ae1.92: unknown","172.17.140.1/24","BKH-VR-VSYS-DEVTEST","92","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","","GLIDe_App_Dat_Dev"
"ae1.93","Layer3","Allow-Ping","ae1.93: unknown","192.168.93.1/24","BKH-VR-VSYS-TOLL","93","none","TUNSW-BKH-PA-TOLL-FW","BKH-TOLL-Services","","Disabled","","GLIDe_App_Prod_Stnby"
"ae1.96","Layer3","Allow-Ping","ae1.96: unknown","192.168.96.1/24","BKH-VR-VSYS-TOLL","96","none","TUNSW-BKH-PA-TOLL-FW","BKH-TOLL-Services","","Disabled","","GLIDe_Datstg_Migrate"
"ae1.103","Layer3","Allow-Ping","ae1.103: unknown","10.8.103.250/24","BKH-VR-VSYS-CORP","103","none","TUNSW-BKH-PA-CORP-FW","BKH-CORP-Services","","Disabled","DHCP Relay","TQ_Esx_DR_Linux-Apps"
"ae1.104","Layer3","Allow-Ping","ae1.104: unknown","10.30.104.250/24","BKH-VR-VSYS-TQ-DR","104","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","DHCP Relay","TQ_Esx_DR_Windows-Apps"
"ae1.105","Layer3","Allow-Ping","ae1.105: unknown","10.30.105.250/24","BKH-VR-VSYS-TQ-DR","105","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","TQ_Esx_DR_Legacy"
"ae1.106","Layer3","Allow-Ping","ae1.106: unknown","10.30.106.250/24","BKH-VR-VSYS-TQ-DR","106","none","TUNSW-BKH-PA-TQ-DR-FW","BKH-TQDR-Services","","Disabled","","TQ_DR_Toll_Service"
"ae1.107","Layer3","Allow-Ping","ae1.107: unknown","10.144.14.1/24","BKH-VR-VSYS-DEVTEST","107","none","TUNSW-BKH-PA-DEVTEST-FW","BKH-DEVTEST-Services","","Disabled","","trust_epodatabase_server"
