Interface,Interface Type,Management Profile,Link State,IP Address,Virtual Router,Tag,VLAN / Virtual Wire,Virtual System,Security Zone,SD WAN Interface Profile,Upstream NAT,Features,Comment
ethernet1/1,Layer3,,ethernet1/1: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/2,Layer3,,ethernet1/2: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/3,,,ethernet1/3: not configured and down,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/4,,,ethernet1/4: not configured and down,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/5,Aggregate (ae1),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/5: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/6,Aggregate (ae1),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/6: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/7,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/7: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/8,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/8: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/9,Aggregate (ae5),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/9: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/10,Aggregate (ae5),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/10: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/11,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/11: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/12,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/12: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/13,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/13: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/14,Layer3,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/14: configured but down,none,none,Untagged,none,vsys1,none,,Disabled,,
ethernet1/15,Aggregate (ae5),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/15: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/16,Aggregate (ae6),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/16: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/17,Aggregate (ae6),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/17: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/18,Aggregate (ae6),,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/18: configured and up,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/19,HA,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/19: configured and up,none,none,Untagged,none,none,none,,Disabled,,HA2 - primary interface
ethernet1/20,HA,,Link Speed: 10000 Mbps;Link Duplex: full;ethernet1/20: configured and up,none,none,Untagged,none,none,none,,Disabled,,HA2 - backup interface
ethernet1/21,,,Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/21: not configured and down,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/22,,,Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/22: not configured and down,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/23,,,Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/23: not configured and down,none,none,Untagged,none,none,none,,Disabled,,
ethernet1/24,Layer3,,Link Speed: 100000 Mbps;Link Duplex: full;ethernet1/24: configured but down,none,none,Untagged,none,none,none,,Disabled,,Northbound_To_TR01
ae1,Layer3,,Type: lacp;State: Enabled;Mode: Passive;Local Key: 16;Local MAC: 08:30:6b:84:08:01;Local Priority: 32768;Partner Key: 110;Partner MAC: cc:ed:4d:67:32:0b;Partner Priority: 32768;Member (ethernet1/5): active;Member (ethernet1/6): active,none,default,Untagged,none,vsys1,none,,Disabled,LACP Enable,Data traffic
ae1.18,Layer3,Allow-Ping,ae1.18: unknown,10.5.5.1/24,MIT-VR-VSYS-DEVTEST,18,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,VLAN0018
ae1.28,Layer3,Allow-Ping,ae1.28: unknown,192.168.28.1/24,MIT-VR-VSYS-CORP,28,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,VIC-DC-Roadside
ae1.50,Layer3,Allow-Ping,ae1.50: unknown,192.168.50.1/24,MIT-VR-VSYS-TOLL,50,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,MIT-PCI_M2
ae1.68,Layer3,Allow-Ping,ae1.68: unknown,192.168.90.1/24,MIT-VR-VSYS-TOLL,68,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,bureau
ae1.79,Layer3,Allow-Ping,ae1.79: unknown,10.10.1.1/24,MIT-VR-VSYS-TOLL,79,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,GLIDe_external_vip
ae1.80,Layer3,Allow-Ping,ae1.80: unknown,172.19.1.1/24,MIT-VR-VSYS-CORP,80,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,GLIDe_web_layer
ae1.81,Layer3,Allow-Ping,ae1.81: unknown,10.10.7.1/24,MIT-VR-VSYS-TOLL,81,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,GLIDe_prod_ext_admin_vs
ae1.82,Layer3,Allow-Ping,ae1.82: unknown,172.19.2.1/24,MIT-VR-VSYS-TOLL,82,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,GLIDe_app_dat_layer
ae1.83,Layer3,Allow-Ping,ae1.83: unknown,172.19.8.1/24,MIT-VR-VSYS-TOLL,83,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,GLIDe_Restricted_LAN
ae1.84,Layer3,Allow-Ping,ae1.84: unknown,172.19.4.1/24,MIT-VR-VSYS-DEVTEST,84,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,MIT-Data_Migration_Network
ae1.89,Layer3,Allow-Ping,ae1.89: unknown,172.19.9.1/24,MIT-VR-VSYS-TOLL,89,none,TUVIC-MIT-PA-TOLL-FW,MIT-TOLL-Services,,Disabled,,Dynatrace_PCI
ae1.104,Layer3,Allow-Ping,ae1.104: unknown,192.168.78.1/24,MIT-VR-VSYS-CORP,104,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,ops-lan
ae1.107,Layer3,Allow-Ping,ae1.107: unknown,10.152.11.1/24,MIT-VR-VSYS-DEVTEST,107,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,trust_epodatabase_server
ae1.108,Layer3,Allow-Ping,ae1.108: unknown,10.152.12.1/24,MIT-VR-VSYS-DEVTEST,108,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,semi_trust_epo_app_server
ae1.112,Layer3,Allow-Ping,ae1.112: unknown,192.168.102.1/24,MIT-VR-VSYS-CORP,112,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,tushared_services
ae1.113,Layer3,Allow-Ping,ae1.113: unknown,192.168.113.1/24,MIT-VR-VSYS-CORP,113,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Facilities_Management-MIT
ae1.149,Layer3,Allow-Ping,ae1.149: unknown,192.168.149.1/24,MIT-VR-VSYS-CORP,149,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,mit_network_mgmt
ae1.163,Layer3,Allow-Ping,ae1.163: unknown,10.97.32.1/20,MIT-VR-VSYS-CORP,163,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,TuPDA_WLAN
ae1.181,Layer3,Allow-Ping,ae1.181: unknown,10.152.1.1/24,MIT-VR-VSYS-DEVTEST,181,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,MIT-DEV-CompConfidential-WebApp
ae1.182,Layer3,Allow-Ping,ae1.182: unknown,10.152.2.1/24,MIT-VR-VSYS-DEVTEST,182,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,MIT-DEV-CompConfidential-DB
ae1.205,Layer3,Allow-Ping,ae1.205: unknown,192.168.205.1/24,MIT-VR-VSYS-CORP,205,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,VIC_SHARED_SERVICES_DB
ae1.206,Layer3,Allow-Ping,ae1.206: unknown,192.168.206.1/24,MIT-VR-VSYS-CORP,206,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,VIC_SHARED_SERVICES_APP
ae1.207,Layer3,Allow-Ping,ae1.207: unknown,192.168.207.1/28,MIT-VR-VSYS-CORP,207,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,VIC_Protected_App_LAN
ae1.209,Layer3,Allow-Ping,ae1.209: unknown,192.168.209.254/24,MIT-VR-VSYS-CORP,209,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Corp_Internal_Web_LAN
ae1.210,Layer3,Allow-Ping,ae1.210: unknown,192.168.210.254/24,MIT-VR-VSYS-CORP,210,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Corp_App_and_DB_LAN
ae1.215,Layer3,Allow-Ping,ae1.215: unknown,192.168.215.1/24,MIT-VR-VSYS-CORP,215,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Corp_PCI_LAN
ae1.216,Layer3,Allow-Ping,ae1.216: unknown,192.168.216.1/24,MIT-VR-VSYS-CORP,216,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Corp_CUBE_LAN
ae1.229,Layer3,Allow-Ping,ae1.229: unknown,192.168.229.1/24,MIT-VR-VSYS-CORP,229,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Corp_Infrastructure_Services
ae1.241,Layer3,Allow-Ping,ae1.241: unknown,10.152.3.1/24,MIT-VR-VSYS-CORP,241,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,MIT-PROD-CompConfidential-WebApp
ae1.242,Layer3,Allow-Ping,ae1.242: unknown,10.152.4.1/24,MIT-VR-VSYS-CORP,242,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,MIT-PROD-CompConfidential-DB
ae1.246,Layer3,Allow-Ping,ae1.246: unknown,10.152.8.1/24,MIT-VR-VSYS-DEVTEST,246,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,MIT_IAM_Test_VLAN
ae1.413,Layer3,Allow-Ping,ae1.413: unknown,10.152.13.1/24,MIT-VR-VSYS-CORP,413,none,TUVIC-MIT-PA-CORP-FW,MIT-CORP-Services,,Disabled,,Terminal_Server
ae1.600,Layer3,Allow-Ping,ae1.600: unknown,10.20.0.1/24,MIT-VR-VSYS-DEVTEST,600,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,WM7_Dev_Management
ae1.601,Layer3,Allow-Ping,ae1.601: unknown,10.20.1.1/24,MIT-VR-VSYS-DEVTEST,601,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,WM7_Dev_Users
ae1.602,Layer3,Allow-Ping,ae1.602: unknown,10.20.2.1/24,MIT-VR-VSYS-DEVTEST,602,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,WM7_Dev_Corporate
ae1.603,Layer3,Allow-Ping,ae1.603: unknown,10.20.3.1/24,MIT-VR-VSYS-DEVTEST,603,none,TUVIC-MIT-PA-DEVTEST-FW,MIT-DEVTEST-Services,,Disabled,,WM7_Dev_Protected
