DC,Switch_Type,Switch,Has_VLANs,Missing_VLANs
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-02,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 504, 1201, 1202, 1203, 1204, 1299, 1614, 3200, 3851, 3855, 3856, 3857, 3858, 3859, 3878, 3893","52, 101, 147, 170, 250, 500, 701, 702, 703, 1211, 1212, 1213, 1214, 1215, 1216, 3300, 3366, 3850, 3854, 3896"
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-01,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 504, 1201, 1202, 1203, 1204, 1299, 1614, 3200, 3850, 3854, 3856, 3857, 3858, 3859, 3878, 3893","52, 101, 147, 170, 250, 500, 701, 702, 703, 1211, 1212, 1213, 1214, 1215, 1216, 3300, 3366, 3851, 3855, 3896"
,,,,
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-01,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 1201, 1202, 1203, 1204, 1614, 3200, 3856","504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-02,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 1201, 1202, 1203, 1204, 1614, 3200, 3856","504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-03,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 1201, 1202, 1203, 1204, 1614, 3200, 3856","504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-04,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 1201, 1202, 1203, 1204, 1614, 3200, 3856","504, 1299, 3850, 3851, 3854, 3855, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 504, 1201, 1202, 1203, 1204, 1299, 1614, 3200, 3850, 3851, 3854, 3855, 3856, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 504, 1201, 1202, 1203, 1204, 1299, 1614, 3200, 3850, 3851, 3854, 3855, 3856, 3857, 3858, 3859, 3878, 3893"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"21, 22, 29, 30, 41, 51, 133, 146, 148, 204, 400, 410, 504, 1201, 1202, 1203, 1204, 1299, 1614, 3200, 3850, 3851, 3854, 3855, 3856, 3857, 3858, 3859, 3878, 3893"
