,Zone,DC1,DC2,TU-VIC-DC1-L0-SW-COR-PRD-01,TU-VIC-DC1-L0-SW-COR-PRD-01_svi_info,TU-VIC-DC1-L0-SW-COR-PRD-02,TU-VIC-DC1-L0-SW-COR-PRD-02_svi_info,TU-NSW-DC2-L0-SW-COR-PRD-01,TU-NSW-DC2-L0-SW-COR-PRD-01_svi_info,TU-NSW-DC2-L0-SW-COR-PRD-02,TU-NSW-DC2-L0-SW-COR-PRD-02_svi_info,TUVIC-MIT-PA-DCFW1_fw_info,TUNSW-BKH-PA-DCFW1_fw_info,TU-NSW-DC2-L0-SW-ACC-PRD-01,TU-NSW-DC2-L0-SW-ACC-PRD-02,TU-NSW-DC2-L0-SW-ACC-PRD-03,TU-NSW-DC2-L0-SW-ACC-PRD-04,TU-NSW-DC2-L0-SW-ACC-PRD-05,TU-NSW-DC2-L0-SW-ACC-PRD-06,TU-NSW-DC2-L0-SW-OOB-PRD-01,TU-NSW-DC2-L0-SW-OOB-PRD-02,TU-NSW-DC2-L0-SW-TOR-MGT-01,TU-NSW-DC2-L0-SW-TOR-MGT-02,TU-NSW-DC2-L0-SW-TOR-MGT-03,TU-NSW-DC2-L0-SW-TOR-MGT-04,TU-NSW-DC2-L0-SW-TOR-MGT-05,TU-NSW-DC2-L0-SW-TOR-MGT-06,TU-NSW-DC2-L0-SW-TOR-MGT-07,TU-NSW-DC2-L0-SW-TOR-MGT-08,TU-NSW-DC2-L0-SW-TOR-MGT-09,TU-NSW-DC2-L0-SW-TOR-PRD-01,TU-NSW-DC2-L0-SW-TOR-PRD-02,TU-NSW-DC2-L0-SW-TOR-PRD-03,TU-NSW-DC2-L0-SW-TOR-PRD-04,TU-NSW-DC2-L0-SW-TOR-PRD-05,TU-NSW-DC2-L0-SW-TOR-PRD-06,TU-NSW-DC2-L0-SW-TOR-PRD-07,TU-NSW-DC2-L0-SW-TOR-PRD-09,TU-NSW-DC2-L0-SW-TOR-PRD-10,TU-VIC-DC1-L0-SW-TOR-MGT-01,TU-VIC-DC1-L0-SW-TOR-MGT-02,TU-VIC-DC1-L0-SW-TOR-MGT-03,TU-VIC-DC1-L0-SW-TOR-MGT-04,TU-VIC-DC1-L0-SW-TOR-MGT-05,TU-VIC-DC1-L0-SW-TOR-PRD-01,TU-VIC-DC1-L0-SW-TOR-PRD-02,TU-VIC-DC1-L0-SW-TOR-PRD-03,TU-VIC-DC1-L0-SW-TOR-PRD-04,TU-VIC-DC1-L0-SW-TOR-PRD-05,TU-VIC-DC1-L0-SW-TOR-PRD-06,TU-VIC-DC1-L0-SW-TOR-PRD-07,TU-NSW-DC2-L0-SW-TR-PRD-01,TU-NSW-DC2-L0-SW-TR-PRD-02,TU-NSW-DC2-L0-SW-UTL-PRD-01,TU-NSW-DC2-L0-SW-UTL-PRD-02,TU-NSW-DC2-L0-SW-WAN-PRD-01,TU-VIC-DC1-L0-SW-ACC-PRD-01,TU-VIC-DC1-L0-SW-ACC-PRD-02,TU-VIC-DC1-L0-SW-ACC-PRD-03,TU-VIC-DC1-L0-SW-ACC-PRD-04,TU-VIC-DC1-L0-SW-ACC-PRD-05,TU-VIC-DC1-L0-SW-ACC-PRD-06,TU-VIC-DC1-L0-SW-OOB-PRD-01,TU-VIC-DC1-L0-SW-OOB-PRD-02,TU-VIC-DC1-L0-SW-TR-PRD-01,TU-VIC-DC1-L0-SW-TR-PRD-02,TU-VIC-DC1-L0-SW-UTL-PRD-01,TU-VIC-DC1-L0-SW-UTL-PRD-02,TUNSW-BKH-PA-DCFW2_fw_info,TUVIC-MIT-PA-DCFW2_fw_info
1,,True,True,True,,True,,True,,True,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
10,,True,True,True,,True,,True,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
100,,True,True,True,,True,,True,,True,,,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,True,True,True,True,True,True,,,,,,,,
1000,,,True,,,,,True,"{'interface': 'Vlan1000', 'vrf': 'default', 'ip': '1.1.1.2'}",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,True,,,,,True,,True,"{'interface': 'Vlan1001', 'vrf': 'default', 'ip': '1.1.1.10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
1003,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
1004,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
1005,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
101,CORPORATE,True,True,True,,True,,True,"{'interface': 'Vlan101', 'vrf': 'corporate', 'ip': '10.30.101.249'}",True,"{'interface': 'Vlan101', 'vrf': 'corporate', 'ip': '10.30.101.248'}",,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,True,True,True,True,True,True,,,,,,,,
1016,,,True,,,,,True,,True,,,"{'interface': 'ae1.1016', 'zone': 'BKH-CORP-Services', 'fwd': 'vr:BKH-VR-VSYS-CORP', 'ip': '10.145.216.1/24'}",True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'interface': 'ae1.1016', 'zone': 'BKH-CORP-Services', 'fwd': 'vr:BKH-VR-VSYS-CORP', 'ip': '10.145.216.1/24'}",
1017,,True,,True,,True,,,,,,"{'interface': 'ae1.1017', 'zone': 'MIT-CORP-Services', 'fwd': 'vr:MIT-VR-VSYS-CORP', 'ip': '10.152.17.1/24'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,True,True,True,True,,,,,,,,,,"{'interface': 'ae1.1017', 'zone': 'MIT-CORP-Services', 'fwd': 'vr:MIT-VR-VSYS-CORP', 'ip': '10.152.17.1/24'}"
1018,,True,,True,,True,,,,,,"{'interface': 'ae1.1018', 'zone': 'MIT-CORP-Services', 'fwd': 'vr:MIT-VR-VSYS-CORP', 'ip': '10.152.18.1/24'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,,True,True,True,True,,,,,,,,,,"{'interface': 'ae1.1018', 'zone': 'MIT-CORP-Services', 'fwd': 'vr:MIT-VR-VSYS-CORP', 'ip': '10.152.18.1/24'}"
